obs number;Labels(Z_number by freq);cluster_number
1;Z1;1
3;Z1;2
4;Z2;1
5;Z5;3
6;Z1;1
7;Z1;1
8;Z4;2
9;Z1;2
10;Z5;4
11;Z5;4
13;Z1;1
14;Z1;2
15;Z4;2
16;Z2;5
17;Z2;3
18;Z4;2
20;Z5;2
21;Z1;2
22;Z5;3
23;Z1;1
24;Z4;2
25;Z2;1
26;Z1;2
27;Z1;3
29;Z4;5
30;Z2;5
31;Z1;3
33;Z4;2
34;Z4;2
35;Z4;5
36;Z1;5
37;Z5;3
38;Z3;3
39;Z4;5
40;Z1;2
41;Z1;1
42;Z1;2
43;Z2;5
44;Z1;4
45;Z1;2
46;Z1;2
47;Z2;3
48;Z1;2
49;Z2;5
50;Z4;2
51;Z1;5
52;Z1;2
54;Z4;5
55;Z4;2
56;Z4;5
57;Z1;4
58;Z6;5
59;Z3;3
60;Z1;2
61;Z1;2
62;Z1;4
63;Z5;3
64;Z1;2
65;Z6;3
66;Z1;4
67;Z1;5
68;Z1;2
69;Z1;1
70;Z4;5
71;Z2;1
72;Z1;3
73;Z1;2
75;Z1;2
76;Z6;5
77;Z1;1
78;Z1;1
79;Z1;4
80;Z1;2
81;Z1;1
82;Z4;2
83;Z1;5
84;Z1;2
85;Z2;3
86;Z4;2
87;Z1;2
88;Z1;2
89;Z1;2
90;Z1;2
91;Z2;2
92;Z1;2
93;Z1;2
94;Z1;5
95;Z3;3
96;Z2;1
98;Z1;2
99;Z1;2
100;Z4;2
101;Z1;2
102;Z1;2
103;Z4;2
104;Z4;5
105;Z1;2
106;Z4;1
107;Z1;1
108;Z2;5
109;Z1;2
110;Z1;1
112;Z1;1
113;Z1;2
114;Z4;2
115;Z1;2
117;Z4;2
120;Z5;4
121;Z1;5
122;Z4;5
123;Z4;2
125;Z4;2
127;Z6;4
128;Z2;5
129;Z5;4
130;Z4;5
131;Z1;4
132;Z1;3
133;Z1;2
134;Z2;2
135;Z3;3
136;Z1;5
137;Z1;2
138;Z5;4
139;Z2;1
140;Z5;4
141;Z4;5
143;Z6;5
145;Z4;2
146;Z1;2
147;Z1;4
150;Z4;5
151;Z5;5
152;Z1;2
154;Z1;1
155;Z1;2
156;Z1;2
157;Z1;4
158;Z5;4
159;Z4;2
160;Z4;5
161;Z3;3
162;Z1;2
163;Z1;3
164;Z4;2
165;Z1;2
166;Z4;2
167;Z1;5
168;Z4;1
169;Z1;3
171;Z1;2
172;Z1;4
173;Z1;2
174;Z1;3
176;Z4;2
177;Z3;3
178;Z4;5
181;Z1;1
182;Z1;1
183;Z4;2
186;Z4;2
187;Z1;2
188;Z4;2
189;Z2;3
190;Z4;5
191;Z1;2
192;Z2;5
193;Z1;2
194;Z1;2
195;Z2;4
196;Z1;2
197;Z4;5
198;Z4;5
199;Z6;3
200;Z4;5
201;Z1;1
202;Z4;5
203;Z5;4
204;Z4;2
205;Z4;2
206;Z4;2
207;Z4;2
208;Z4;2
209;Z4;2
210;Z1;2
212;Z2;5
213;Z2;5
214;Z1;5
215;Z4;2
216;Z4;2
217;Z5;4
218;Z4;2
219;Z2;1
220;Z1;2
221;Z1;1
222;Z4;5
223;Z3;3
224;Z1;2
225;Z4;2
226;Z1;2
227;Z4;1
228;Z1;2
230;Z4;6
231;Z1;4
232;Z4;5
233;Z1;2
234;Z1;2
235;Z1;2
236;Z4;2
238;Z4;2
240;Z1;2
241;Z1;2
242;Z1;2
243;Z6;5
244;Z1;1
245;Z4;5
246;Z4;2
247;Z1;4
248;Z5;4
249;Z1;2
250;Z1;1
251;Z4;2
252;Z1;2
253;Z5;4
254;Z4;5
255;Z4;2
256;Z4;2
257;Z1;2
259;Z4;5
260;Z1;2
261;Z1;5
263;Z4;5
264;Z1;2
265;Z1;4
266;Z5;4
267;Z1;2
268;Z1;4
269;Z1;2
270;Z4;5
271;Z4;2
272;Z3;3
273;Z4;4
274;Z1;2
276;Z4;2
277;Z5;4
278;Z4;5
279;Z1;4
280;Z1;5
281;Z5;4
282;Z4;2
283;Z4;5
284;Z1;1
285;Z3;1
286;Z1;2
287;Z3;3
288;Z1;4
289;Z1;2
290;Z3;5
292;Z4;2
293;Z1;1
294;Z4;2
295;Z5;4
296;Z4;2
297;Z1;5
298;Z1;2
299;Z1;2
301;Z1;5
302;Z4;2
303;Z4;5
304;Z1;2
305;Z5;4
306;Z4;2
307;Z1;3
